chip_sample,chip_fastq_r1,chip_fastq_r2,input_sample,input_fastq_r1,input_fastq_r2
MOLM-14_DMS01_5_BRD4,data/fastq/MOLM-14_DMS01_5_BRD4.fastq.gz,,MOLM-14_DMS01_5_Input,data/fastq/MOLM-14_DMS01_5_Input.fastq.gz,
MOLM-14_DMS02_6_BRD4,data/fastq/MOLM-14_DMS02_6_BRD4.fastq.gz,,MOLM-14_DMS02_6_Input,data/fastq/MOLM-14_DMS02_6_Input.fastq.gz,
